thread_url,comment_author,comment_text,comment_time_iso,is_solution,is_accepted
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,DELL-ChrisM2,Same. Team notified. WIll keep testing it.,2026-01-21T11:57:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,trom666,[Working](https://www.dell.com/support/product-details/en-us/product/alienware-aurora-ac16251-gaming-laptop/drivers) now!!!! Thank you!!!!👍,2026-01-21T15:58:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,trom666,Access lasted a few hours after my previous post. Strange!!!!!,2026-01-24T12:46:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,DELL-ChrisM2,"I use Google Chrome browser.

[Working](https://www.dell.com/support/product-details/en-us/product/alienware-aurora-ac16251-gaming-laptop/drivers) for me.

[This](https://www.dell.com/support/home/en-us/products/laptop/laptop_alienware/laptop_alienware_16_aurora) link =",2026-01-24T12:55:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,trom666,"Thanks for the follow up.

Sorry for my late answer.

I can reach the page in your last message fine. See -Page 0-    Wich I couldn't do the prior days. Fixed for me.

From there I can reach -Page 1-   Good.

Then if I click to Automatic update I go to -Page 2- OOOPS but when I click to drivers I reach the drivers list.

I understand that Automatic Update isn't working as it should.

This was fine until recently.

Microsoft Edge Browser....

Thank you for your time and patience!!!!!!",2026-01-24T18:33:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,DELL-ChrisM2,Translate those above into English. Then repost pictures. Also test in Google Chrome browser.,2026-01-24T18:44:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,trom666,"Sorry!!!!!!

I willl do my request in a better way now.

So, I can easily access the initial product page.

Then either select CHECK FOR UPDATES  or SELECT DRIVERS:

CHECK FOR UPDATES takes me here:

Which is no help at all....

SELECT DRIVERS goes there:

I can self update drivers or else.

It seems that the automatic update service is not working at least for me.

This was fine until recently.

Don't want to deal with Google if I can.....

Thank you!!!!!!",2026-01-25T08:51:00,,
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,DELL-ChrisM2,The problem with the external Support website Automatic Updates not working is because the private Service Tag number shows as no entitlements. It shows as Canceled. I am not privy as to why it shows this.,2026-01-25T08:51:00,True,True
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,trom666,"Hello there,

the auto update is working fine presently........

Strange.....

I will be fine with manual updates in case.

Thank you again!!!!!

Great support!!!!!",2026-01-25T16:41:00,,
https://www.dell.com/community/en/conversations/chromebook/front-camera-is-blurry/68bb04e510ebbc7b37ef726c,ejn63,"The resolution of the camera depends on the system model -- what Inspiron do you have (3593, etc)?

Is the glass clean?

Is the blurriness present in all applications or just certain ones?",2025-09-05T11:45:00,,
https://www.dell.com/community/en/conversations/chromebook/front-camera-is-blurry/68bb04e510ebbc7b37ef726c,user_26aa1f,"I'm not sure if the inspiron I have but I will look

And yes the glass is clean

And the blurriness is present in all videos lives but when I turn on my bottom camera can see myself but it is upside down
",2025-09-05T11:51:00,,
