report_id,report_content,report_title,timestamp,confidence_score,issue_context
report_0000,USB ports stopped working suddenly is making my Inspiron 15 unusable. Considering switching brands.,Ports issue on Inspiron 15,2025-12-15 16:37:13,0.59,User reports USB ports stopped working suddenly on Inspiron 15. Also mentions 1 related issue(s).
report_0001,Confirming Update NVMe firmware works for SSD not detected after sleep. Tested on XPS 13 9315.,Storage issue on XPS 13 9315,2025-08-07 13:12:13,0.51,User reports SSD not detected after sleep on XPS 13 9315. Also mentions 1 related issue(s).
report_0002,Experiencing Dell Update service causing high CPU usage on my All models with Dell Update. Started after update. Very frustrating!,Software issue on All models with Dell Update,2026-01-12 05:09:13,0.78,User reports Dell Update service causing high CPU usage on All models with Dell Update. 
report_0003,Experiencing Battery not charging beyond 80% on my Inspiron 15 5000. Started after update. Very frustrating!,Battery issue on Inspiron 15 5000,2025-12-19 12:18:13,0.65,User reports Battery not charging beyond 80% on Inspiron 15 5000. 
report_0004,PSA: Trackpad click not registering seems to affect XPS 13 Plus. Dell needs to address this.,Input issue on XPS 13 Plus,2025-10-24 09:19:13,0.7,User reports Trackpad click not registering on XPS 13 Plus. Also mentions 1 related issue(s).
report_0005,Dell support suggested Clean keyboard with compressed air for Trackpad click not registering. Will update with results.,Input issue on XPS 13 Plus,2025-12-08 00:12:13,0.6,User reports Trackpad click not registering on XPS 13 Plus. 
report_0006,Audio crackling and popping is making my XPS 13 9315 unusable. Considering switching brands.,Audio issue on XPS 13 9315,2025-08-14 17:26:13,0.72,User reports Audio crackling and popping on XPS 13 9315. Also mentions 2 related issue(s).
report_0007,Power adapter overheating on brand new XPS 15. Should I return it?,Power issue on XPS 15,2025-09-24 00:22:13,0.64,User reports Power adapter overheating on XPS 15. 
report_0008,Warning: Keyboard keys double typing appeared after latest Windows/BIOS update on Inspiron 14 5000,Input issue on Inspiron 14 5000,2025-09-30 00:33:13,0.85,User reports Keyboard keys double typing on Inspiron 14 5000. 
report_0009,Experiencing Audio crackling and popping on my XPS 13 9315. Started 2 months ago. Very frustrating!,Audio issue on XPS 13 9315,2025-12-09 14:47:13,0.74,User reports Audio crackling and popping on XPS 13 9315. 
report_0010,"Update: After trying Update Thunderbolt firmware and drivers, my Thunderbolt 4 ports not working is resolved!",Ports issue on XPS 13 Plus,2025-11-14 13:59:13,0.82,User reports Thunderbolt 4 ports not working on XPS 13 Plus. 
report_0011,Dell support suggested Disable modern standby for Slow SSD write speeds. Will update with results.,Storage issue on G15 5520,2025-09-20 02:25:13,0.73,User reports Slow SSD write speeds on G15 5520. Also mentions 2 related issue(s).
report_0012,WiFi disconnecting randomly - has anyone found a solution? Running XPS 13 9310,Connectivity issue on XPS 13 9310,2026-01-18 10:30:13,0.65,User reports WiFi disconnecting randomly on XPS 13 9310. Also mentions 1 related issue(s).
report_0013,Experiencing USB-C charging intermittent on my XPS 13 Plus. Started recently. Very frustrating!,Power issue on XPS 13 Plus,2025-08-09 09:45:13,0.65,User reports USB-C charging intermittent on XPS 13 Plus. 
report_0014,"Update: After trying Update to latest stable BIOS, my Fan control not working after firmware update is resolved!",Firmware issue on Precision 5570,2025-12-12 20:53:13,0.76,User reports Fan control not working after firmware update on Precision 5570. Also mentions 1 related issue(s).
report_0015,Windows Hello face recognition fails on brand new XPS 13 Plus. Should I return it?,Software issue on XPS 13 Plus,2025-10-29 14:54:13,0.8,User reports Windows Hello face recognition fails on XPS 13 Plus. Also mentions 2 related issue(s).
report_0016,Experiencing Screen flickering on startup on my XPS 17 9720. Started last week. Very frustrating!,Display issue on XPS 17 9720,2025-09-23 16:01:13,0.71,User reports Screen flickering on startup on XPS 17 9720. Also mentions 1 related issue(s).
report_0017,"Update: After trying Update Windows audio stack, my Audio crackling and popping is resolved!",Audio issue on XPS 13 9315,2025-10-06 06:47:13,0.4,User reports Audio crackling and popping on XPS 13 9315. Also mentions 2 related issue(s).
